Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
extra life,No,0,NA,0,NA,covid has hit me hard and I can't anymore,No,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,10,10,Female,18 - 24,"Less than $10,000",4 year degree,Treatment
American Cancer Society,Yes,1,0.4,0.4,Because they will put it to good use,NA,NA,Strongly agree,5,Disagree,2,2019,1,nonloyal,10,10,Male,25 - 34,"$60,000 - $69,999",Doctorate,Control
Churches,Yes,1,0.5,0.5,Because they are an important outreach to people in need in our community.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,1500,1500,Male,25 - 34,"$40,000 - $49,999",Some college,Treatment
Austin Pets Alive,Yes,1,0.5,0.5,because having volunteered there for years in the past I know it goes straight to their cause,NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,50,50,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
asian americans advancing justice,Yes,1,0.5,0.5,It's convenient because I'd like to support them anyway and their work can only continue if people like me continue to help support them monetarily.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Female,18 - 24,"$10,000 - $19,999",4 year degree,Control
White Bear Lake Music Program,Yes,1,0.5,0.5,I believe in music education and supporting my local schools,NA,NA,Agree,4,Strongly disagree,1,2020,3,nonloyal,500,500,Male,55 - 64,"More than $150,000",4 year degree,Control
Food Bank of Iowa,Yes,1,0.2,0.2,It is a worthy cause that helps many people.,NA,NA,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,10,10,Female,55 - 64,"Less than $10,000",2 year degree,Control
Marrow PDX,No,0,NA,0,NA,I have already donated,No,Neither agree nor disagree,3,Disagree,2,2019,3,nonloyal,500,500,Female,25 - 34,"$30,000 - $39,999",Some college,Treatment
Red Cross,Yes,1,0.3,0.3,Because Covid is hard for everyone.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,45 - 54,"$20,000 - $29,999",Some college,Treatment
ASPCA,Yes,1,0.5,0.5,Because I really appreciate the work that the ASPCA does.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,35 - 44,"$70,000 - $79,999",Professional degree,Control
Watchtower Bible and Tract Society,Yes,1,0.5,0.5,Because I fully support this organization.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,30,30,Female,35 - 44,"$10,000 - $19,999",Some college,Control
Dessie Scott Children's home,No,0,NA,0,NA,I give monetarily plus shoes at Thanksgiving time.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,150,150,Female,35 - 44,"$50,000 - $59,999",Some college,Control
Feedmore,Yes,1,0.5,0.5,"I think Feedmore is doing great work. Also, it is a much needed service in the community.",NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,10,10,Female,45 - 54,"$50,000 - $59,999",4 year degree,Treatment
Good Mews Animal Foundation,Yes,1,0.5,0.5,I would give more than that regularly anyway.,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Male,25 - 34,"$10,000 - $19,999",4 year degree,Control
United Way,Yes,1,0.5,0.5,People who are more fortunate should give to those who are less fortunate or have had circumstances put them in a need for help.,NA,NA,Strongly agree,5,Strongly disagree,1,2018,2,nonloyal,100,100,Female,65 - 74,"$40,000 - $49,999",Professional degree,Control
Relay for Life,Yes,1,0.5,0.5,I want to help this cause.,NA,NA,Strongly agree,5,Strongly disagree,1,2018,2,nonloyal,5,5,Female,18 - 24,"$30,000 - $39,999",4 year degree,Control
The Salvation Army,No,0,NA,0,NA,I will give locally and in person.,No,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,10,10,Male,45 - 54,"Less than $10,000",Some college,Control
Veterans' Outreach,No,0,NA,0,NA,I have already given generously to this charity this year.,No,Agree,4,Disagree,2,2021,3,loyal,500,500,Female,45 - 54,"$50,000 - $59,999",4 year degree,Treatment
Wounded Warrior,Yes,1,0.1,0.1,I want to show that I care overall.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,4,loyal,5,5,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
UNICEF,Yes,1,0.2,0.2,"If I can, I will always give",NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,18 - 24,"$20,000 - $29,999",Some college,Treatment
Wounded Warriors,Yes,1,0.1,0.1,That's all I can part with at the moment,NA,NA,Agree,4,Strongly disagree,1,2021,1,nonloyal,40,40,Female,75 - 84,"$50,000 - $59,999",Some college,Control
Wounded Warriors,No,0,NA,0,NA,I give to them when I am ready,Yes,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,40,40,Male,65 - 74,"$50,000 - $59,999",High school graduate,Control
Paws Chicago,No,0,NA,0,NA,I cannot afford to right now.,No,Strongly agree,5,Disagree,2,2021,1,nonloyal,200,200,Female,18 - 24,"$70,000 - $79,999",4 year degree,Treatment
MN Zen Community,No,0,NA,0,NA,broke,No,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,50,50,Female,25 - 34,"$30,000 - $39,999",Some college,Treatment
Shedd Aquarium,Yes,1,0.2,0.2,"I don't live in Chicago anymore so I can't visit Shedd, but I really do support their conservation efforts.",NA,NA,Agree,4,Disagree,2,2019,1,nonloyal,100,100,Female,25 - 34,"$50,000 - $59,999",Professional degree,Treatment
Planned parenthood,Yes,1,0.3,0.3,To support them,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,120,120,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
Unicef,Yes,1,0.2,0.2,Charities are always helpful to people.,NA,NA,Agree,4,Disagree,2,2020,1,nonloyal,1,1,Male,25 - 34,"$100,000 - $149,999",Doctorate,Control
St Vincent De Paul,Yes,1,0.5,0.5,This charity belongs or is related to my church and they have helped a lot of low income families get clothes and furniture so giving to them is worth it.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,5,nonloyal,300,300,Male,35 - 44,"$50,000 - $59,999",Professional degree,Control
The Listening Ear,No,0,NA,0,NA,"The language used in the letter was off-putting, as it felt forceful",No,Neither agree nor disagree,3,Neither agree nor disagree,3,2020,2,nonloyal,20,20,Female,18 - 24,"$10,000 - $19,999",Professional degree,Treatment
St. Jude's,No,0,NA,0,NA,I give to them regularly,No,Strongly agree,5,Disagree,2,2021,5,loyal,200,200,Female,35 - 44,"Less than $10,000",4 year degree,Control
The Animal Pad,No,0,NA,0,NA,I do not have extra money to support their cause right now,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100 dollars,100,Female,25 - 34,"$20,000 - $29,999",Some college,Treatment
Juvenile Diabetes Research Foundation,Yes,1,0.5,0.5,It is a cause near and dear to my heart and every donation that they get can help them.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
Compassion International,Yes,1,0.2,0.2,Because I sponsor a child through them and love seeing the impact it makes,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,25 - 34,"$60,000 - $69,999",Professional degree,Treatment
DRT,Yes,1,0.5,0.5,Because I generally donate to them. I have no problem doing so.,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,1000,1000,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
Vietnam Veterans of America,Yes,1,0.1,0.1,I felt appreciated and think that they do good work.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,45 - 54,"$10,000 - $19,999",Professional degree,Control
St. Jude's Children Research Hospital,Yes,1,0.5,0.5,Because they do important work to help children and their families.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,55 - 64,"$100,000 - $149,999",4 year degree,Control
meals on wheels atlanta,Yes,1,0.2,0.2,I feel like they need the money more than I do,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,10,10,Female,18 - 24,"Less than $10,000",Some college,Treatment
Humane Society,No,0,NA,0,NA,I will give on my own.,No,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,35 - 44,"$40,000 - $49,999",Professional degree,Control
Abaato Initiative,Yes,1,0.5,0.5,I care about the children that they serve,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,18 - 24,"Less than $10,000",4 year degree,Control
american red cross,No,0,NA,0,NA,i dont want to give at this time,No,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,25 - 34,"$100,000 - $149,999",Professional degree,Treatment
Aaron's Presents,No,0,NA,0,NA,I prefer to give on my own terms.,No,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,50,50,Male,45 - 54,"$60,000 - $69,999",4 year degree,Treatment
habitat for humanity,Yes,1,0.1,0.1,i think they are a good cause,NA,NA,Agree,4,Disagree,2,2021,3,loyal,25,25,Female,25 - 34,"$30,000 - $39,999",2 year degree,Treatment
US Holocaust Memorial Assn,Yes,1,0.5,0.5,"I have been a donor for many years. I feel that it is an extremely important organization, especially now with so much hate thriving in the US and the world.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,75,75,Female,55 - 64,"$100,000 - $149,999",4 year degree,Control
Salvation Army,No,0,NA,0,NA,I like to give in person to see who I help,No,Agree,4,Disagree,2,2021,3,loyal,10,10,Male,18 - 24,"More than $150,000",Some college,Treatment
Best Friend's Animal Sanctuary,No,0,NA,0,NA,"I am taking a survey for me, and prefer to give on my own terms.",No,Agree,4,Strongly disagree,1,2019,2,nonloyal,1200,1200,Male,55 - 64,"$80,000 - $89,999",Some college,Treatment
American Red Cross,Yes,1,0.5,0.5,They could use it,NA,NA,Agree,4,Disagree,2,2020,4,nonloyal,25,25,Male,35 - 44,"$10,000 - $19,999",4 year degree,Treatment
Bike for MS,No,0,NA,0,NA,Because I just donated $500 less than two weeks ago...,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Male,35 - 44,"$100,000 - $149,999",Some college,Control
New Jersey Marthoma Church Missionary,Yes,1,0.5,0.5,"Because I got acknowledged for giving earlier, and it seems they need more help. Also they gave me some idea of what they are doing with the money.",NA,NA,Agree,4,Disagree,2,2021,5,loyal,250,250,Male,25 - 34,"More than $150,000",Professional degree,Control
The Nature Conservancy,Yes,1,0.5,0.5,I like the charity,NA,NA,Agree,4,Strongly disagree,1,2020,2,nonloyal,10,10,Male,18 - 24,"$90,000 - $99,999",Some college,Control
American Cancer Research,Yes,1,0.5,0.5,Every single thing adds up - no matter how large or small,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,65 - 74,"$60,000 - $69,999",Some college,Control
Trevor Project,No,0,NA,0,NA,I have given them money before and I have no money to give right now.,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,20,20,Male,18 - 24,"$30,000 - $39,999",Some college,Control
2nd Harvest,No,0,NA,0,NA,I give through work in order to get company match.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,1000,1000,Male,45 - 54,"More than $150,000",Professional degree,Control
Ravens Husky Haven and rescue,Yes,1,0.3,0.3,because I believe in this charity,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,360,360,Female,45 - 54,"$60,000 - $69,999",Professional degree,Treatment
Petsmart Charities,Yes,1,0.2,0.2,"I have taken care of an outdoor cat before, so I understand how hard it is to maintain their safety and health.",NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,10,10,Male,25 - 34,"Less than $10,000",High school graduate,Control
Feeding America,Yes,1,0.5,0.5,"Why not, it's a small amount and I don't need it. I can do another survey instead.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Male,25 - 34,"$10,000 - $19,999",4 year degree,Control
American cancer foundation,No,0,NA,0,NA,I prefer to donate myself.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,150,150,Male,35 - 44,"$20,000 - $29,999",2 year degree,Control
El Paso Pug Rescue,Yes,1,0.5,0.5,Because it is a worthy cause and I know that every penny goes towards saving the lives of pugs in need.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,3500,3500,Female,25 - 34,"$100,000 - $149,999",4 year degree,Treatment
Black Lives Matter,Yes,1,0.3,0.3,I believe in the organization and their message,NA,NA,Strongly agree,5,Disagree,2,2020,2,nonloyal,50,50,Female,18 - 24,"$100,000 - $149,999",High school graduate,Treatment
Meals on Wheels,No,0,NA,0,NA,I already donate to them,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,15,15,Female,25 - 34,"$30,000 - $39,999",2 year degree,Control
ALS TDI,Yes,1,0.5,0.5,I am happy they are getting things done and trust them,NA,NA,Agree,4,Disagree,2,2020,3,nonloyal,250,250,Male,25 - 34,"$60,000 - $69,999",Professional degree,Treatment
american heart association,Yes,1,0.5,0.5,to help out,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Male,65 - 74,"$100,000 - $149,999",Doctorate,Treatment
Campaign Zero,Yes,1,0.3,0.3,I think they deserve more money for all the hard work they've done. I truly believe they make a difference.,NA,NA,Agree,4,Strongly disagree,1,2020,2,nonloyal,50,50,Female,25 - 34,"$70,000 - $79,999",4 year degree,Control
SC ovarian cancer research,Yes,1,0.5,0.5,This charity is close to my heart,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"$30,000 - $39,999",Some college,Control
Human Rights Campaign,No,0,NA,0,NA,"I donated $1,000 recently, and I need this money now due to a surgery I have to pay off. I'm not in a place to give like I was a year ago.",No,Agree,4,Disagree,2,2020,1,nonloyal,"Just 1,000 the one time",1000,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
St. Jude,No,0,NA,0,NA,I already send them a donation every month - as I have for the past 22 years.,No,Agree,4,Disagree,2,2021,5,loyal,240,240,Male,45 - 54,"More than $150,000",4 year degree,Treatment
March of Dimes,Yes,1,0.5,0.5,The is a charity that help premature or small babies which I had small baby.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,4,loyal,30,30,Female,35 - 44,"More than $150,000",4 year degree,Treatment
Paws,No,0,NA,0,NA,I really need the money right now,No,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,35 - 44,"$20,000 - $29,999",2 year degree,Control
Nimiipuu Protecting the Environment,Yes,1,0.5,0.5,I believe and share values and mission statement,NA,NA,Strongly agree,5,Disagree,2,2021,4,loyal,50,50,Non-binary/third gender,25 - 34,"Less than $10,000",Doctorate,Control
Salvation Army,Yes,1,0.5,0.5,I trust and believe that they actually help people in need,NA,NA,Strongly agree,5,Strongly disagree,1,2020,5,nonloyal,100,100,Female,55 - 64,"$30,000 - $39,999",High school graduate,Treatment
ASPCA,Yes,1,0.1,0.1,I felt like I should contribute. I love the charity of my choice and I want to help out when I can.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$20,000 - $29,999",High school graduate,Treatment
St. Jude,No,0,NA,0,NA,I don't trust it would go there. I would rather donate directly on my own.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,120,120,Female,35 - 44,"More than $150,000",2 year degree,Control
St. Jude,No,0,NA,0,NA,I am currently struggling with my finances.,No,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,5,5,Male,18 - 24,"Less than $10,000",High school graduate,Control
Riley Children's Hospital,No,0,NA,0,NA,I chose not to give because right now I could really use the extra money.,No,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,5,5,Female,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
American Foundation for suicide prevention,Yes,1,0.5,0.5,A film director who I admire had a daughter commit suicide and I have been following this donation charity since he became affiliated with it. He is a huge inspiration to me as a person and an artist.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,20,20,Male,18 - 24,"$60,000 - $69,999",4 year degree,Treatment
Childhood Cancer Research,Yes,1,0.5,0.5,My grandson has cancer and there is not enough research to treat the type he has.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,65 - 74,"$70,000 - $79,999",2 year degree,Control
world vision,No,0,NA,0,NA,don't know if the money will actually get to them so I'd rather do it myself,No,Agree,4,Disagree,2,2019,2,nonloyal,200,200,Male,25 - 34,"$50,000 - $59,999",4 year degree,Control
St. Mary's Catholic Church,Yes,1,0.5,0.5,To further the church's cause.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,1500,1500,Male,45 - 54,"$60,000 - $69,999",Doctorate,Control
Rogers Wildlife Rehabilitation Center,Yes,1,0.5,0.5,This is the only non-raptor native bird rehabilitation center in the Dallas metroplex. They never turn a bird away. I have had to take my orphan Purple Martins there (I have a Purple Martin colony that returns from Brazil to nest in the PM housing every year). They live for birds.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,25,25,Female,35 - 44,"$100,000 - $149,999",Some college,Control
WWF,Yes,1,0.5,0.5,"Out of about 4 charities I regularly donate to and support, WWF I've supported the longest and I really trust them. I believe in their mission and feel their conservatory activist efforts to be vital!",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
GreenPeace,Yes,1,0.5,0.5,I believe in the mission,NA,NA,Agree,4,Disagree,2,2021,4,loyal,180,180,Male,65 - 74,"More than $150,000",4 year degree,Control
Toys for Tots,Yes,1,0.1,0.1,Very good charity,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,65 - 74,"More than $150,000",2 year degree,Treatment
American Red Cross,No,0,NA,0,NA,I am poor,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,10,10,Female,25 - 34,"$50,000 - $59,999",Professional degree,Control
lakepointe church,Yes,1,0.5,0.5,I know they will use it for good.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,5000,5000,Female,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
World Central Kitchen,No,0,NA,0,NA,I do donate occasionally but I need to save up right now.,No,Agree,4,Disagree,2,2021,3,loyal,100,100,Female,25 - 34,"$40,000 - $49,999",4 year degree,Control
St. Jude's Children Research Hospital,No,0,NA,0,NA,"Because I like to donate on my own, in my timing.",No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,10,10,Female,25 - 34,"Less than $10,000",High school graduate,Control
Cruz Vermelha,Yes,1,0.2,0.2,I think it may help,NA,NA,Agree,4,Strongly disagree,1,2018,1,nonloyal,20,20,Female,18 - 24,"$10,000 - $19,999",Some college,Treatment
St. Jude Childrens Hospital,No,0,NA,0,NA,I will give independent of the survey,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,55 - 64,"$20,000 - $29,999",Professional degree,Control
The Minnesota Freedom Fund,Yes,1,0.5,0.5,Because I like feeling helpful,NA,NA,Agree,4,Disagree,2,2021,3,loyal,50,50,Female,35 - 44,"$100,000 - $149,999",4 year degree,Treatment
Planned Parenthood,Yes,1,0.2,0.2,I think the work of Planed Parenthood is extremely important and support their mission in a time when reproductive health care is under attack.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
PETA,Yes,1,0.5,0.5,PETA will put the funds to good use to help animals in distress.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,$50 (I give to other animal rescue groups as well as PETA),50,Female,65 - 74,"$70,000 - $79,999",Professional degree,Control
Samaritan's Purse Ministry,Yes,1,0.5,0.5,They do great humanitarian work. I don't have any hesitation in donating to them.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,20,20,Female,45 - 54,"Less than $10,000",2 year degree,Control
Goodwill,Yes,1,0.5,0.5,It's for a good cause.,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,Typically at least $1000 in item donations.,1000,Male,45 - 54,"$100,000 - $149,999",Professional degree,Treatment
innocence project,No,0,NA,0,NA,I already have a recurring donation,No,Agree,4,Strongly disagree,1,2021,5,loyal,120,120,Male,45 - 54,"$60,000 - $69,999",Some college,Treatment
St Jude,Yes,1,0.5,0.5,St Jude is a very worthy cause. It helps a lot of children.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,20,20,Female,45 - 54,"$70,000 - $79,999",4 year degree,Control
ronald mcdonald,No,0,NA,0,NA,Ill do that on my own time,No,Agree,4,Disagree,2,2021,3,loyal,100,100,Male,25 - 34,"$40,000 - $49,999",Some college,Treatment
k9 korean rescue,Yes,1,0.5,0.5,I believe in what the organization stands for,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,1000,1000,Female,25 - 34,"$100,000 - $149,999",4 year degree,Treatment
American Heart Association,Yes,1,0.5,0.5,I choose to give because heart disease affects my family.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,10,10,Female,45 - 54,"$90,000 - $99,999",4 year degree,Treatment
Feed the Children,No,0,NA,0,NA,I will donate again when I can afford to give more money,No,Agree,4,Disagree,2,2021,5,loyal,20,20,Male,25 - 34,"$30,000 - $39,999",High school graduate,Control
Joe Burrow Hunger Relief Fund,Yes,1,0.1,0.1,The fund does good things and I like Burrow,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,9,9,Male,18 - 24,"Less than $10,000",High school graduate,Treatment
St. Jude,Yes,1,0.5,0.5,They help out children suffering from cancetr.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,100,100,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Physicians for Human Rights,No,0,NA,0,NA,I would rather give to them directly so that I can get my employer to match the donation.,No,Agree,4,Disagree,2,2021,1,nonloyal,20,20,Male,18 - 24,"$40,000 - $49,999",4 year degree,Control
bail project,Yes,1,0.4,0.4,"I think it's important even if you think you don't have a lot of money, there are people struggling more",NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,25,25,Female,25 - 34,"$20,000 - $29,999",4 year degree,Control
Extra Life,Yes,1,0.5,0.5,"Because there are people who need money more than I do, but I don't have much to give right now.",NA,NA,Agree,4,Strongly disagree,1,2019,2,nonloyal,50,50,Female,25 - 34,"Less than $10,000",4 year degree,Treatment
Pet Savers,Yes,1,0.5,0.5,It felt like the right thing to do and the letter made me think about the extra work they have had to do because of Covid.,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,100,100,Female,45 - 54,"$40,000 - $49,999",4 year degree,Treatment
Wikipedia,No,0,NA,0,NA,I already just gave and my thank you letter asked for more,No,Agree,4,Agree,4,2021,3,loyal,5,5,Male,35 - 44,"More than $150,000",4 year degree,Treatment
ASPCA,Yes,1,0.1,0.1,Because if everyone gave like me then the charity would be doing even greater things.,NA,NA,Agree,4,Strongly disagree,1,2021,4,loyal,50,50,Male,25 - 34,"$30,000 - $39,999",High school graduate,Treatment
Must Ministries,Yes,1,0.5,0.5,I think they are a great and helpful charity in my community.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,1000,1000,Female,25 - 34,"$50,000 - $59,999",4 year degree,Treatment
kars4kids,Yes,1,0.1,0.1,It's good to help others in need.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,1000,1000,Male,25 - 34,"$20,000 - $29,999",High school graduate,Control
Peta,No,0,NA,0,NA,I gave to them a few months ago.,No,Agree,4,Neither agree nor disagree,3,2021,2,nonloyal,20,20,Female,18 - 24,"Less than $10,000",Some college,Treatment
We Love Lake Street,Yes,1,0.4,0.4,Lake Street has a lot of minority and immigrant-owned businesses on it and they have suffered greatly through this pandemic.,NA,NA,Agree,4,Disagree,2,2020,1,nonloyal,50,50,Female,18 - 24,"Less than $10,000",Some college,Treatment
Relay For Life,Yes,1,0.1,0.1,I always donate a few times a year. I know a lot of people who have cancer and the relay for life helps and inspires them.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,25 - 34,"Less than $10,000",2 year degree,Control
black lives matter,No,0,NA,0,NA,I am in a hard place with money right now,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Female,18 - 24,"$10,000 - $19,999",Some college,Treatment
Animal Shelter,Yes,1,0.5,0.5,Love of animals,NA,NA,Strongly agree,5,Strongly disagree,1,2020,5,nonloyal,100,100,Female,35 - 44,"$70,000 - $79,999",High school graduate,Treatment
APIA Vote,Yes,1,0.5,0.5,It's for a good cause that I believe in.,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,50,50,Male,35 - 44,"$100,000 - $149,999",Professional degree,Treatment
Wikipedia,Yes,1,0.5,0.5,Wikipedia is a valuable resource that deserves to stay up,NA,NA,Agree,4,Disagree,2,2019,1,nonloyal,3$,3,Male,18 - 24,"Less than $10,000",High school graduate,Control
T1International,Yes,1,0.5,0.5,I don't need the money right now. It's more important to help others when given the opportunity.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,25,25,Male,25 - 34,"$60,000 - $69,999",Professional degree,Treatment
SAMS (syrian aid),Yes,1,0.5,0.5,Because I hadn't donated in a while to them and they are doing important work.,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,50,50,Female,45 - 54,"$90,000 - $99,999",2 year degree,Treatment
Doctors Without Borders,Yes,1,0.5,0.5,I like supporting this charity,NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,500,500,Male,25 - 34,"$100,000 - $149,999",4 year degree,Treatment
American Cancer Society,Yes,1,0.5,0.5,Because I feel strongly about this charity.,NA,NA,Neither agree nor disagree,3,Strongly disagree,1,2021,3,loyal,100,100,Female,35 - 44,"More than $150,000",4 year degree,Treatment
PAWS,Yes,1,0.5,0.5,PAWS helps find homes for shelter animals in need and I think that's a beautiful mission.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,75,75,Female,35 - 44,"$10,000 - $19,999",Some college,Control
Ruff House Rescue,No,0,NA,0,NA,I am a little bit hard up for money right now. I just don't have anything to give.,No,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,100,100,Male,45 - 54,"$30,000 - $39,999",Some college,Control
church,Yes,1,0.5,0.5,"I feel so grateful for what I have, not everyone is in the same situation, it feels nice to give back and help",NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,150,150,Female,25 - 34,"$60,000 - $69,999",Some college,Control
Justice for Breonna Taylor,Yes,1,0.5,0.5,it's an important cause and important to me,NA,NA,Agree,4,Disagree,2,2020,1,nonloyal,50,50,Female,25 - 34,"$20,000 - $29,999",Some college,Control
American Institute for Cancer Research,Yes,1,0.3,0.3,It is a good cause that has shown gratitude for my past donation.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,100,100,Female,18 - 24,"Less than $10,000",Some college,Control
St. Jude Children's Research Hospital,No,0,NA,0,NA,I would like to donate a larger portion when I have earned more of my own money.,No,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,2,2,Female,18 - 24,"Less than $10,000",Some college,Control
Make-a-wish,No,0,NA,0,NA,I've grown care less about organizations over the past years,No,Agree,4,Strongly disagree,1,2018,2,nonloyal,60,60,Female,18 - 24,"Less than $10,000",Some college,Control
The Bail Project,Yes,1,0.3,0.3,"I felt like they appreciated my donation and it went to a cause I support, so I'm willing to split my disposable income with them.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Male,25 - 34,"$40,000 - $49,999",4 year degree,Control
